timestamp,exec_twist_x,exec_twist_y,exec_twist_z,exec_twist_r,exec_twist_p,exec_twist_yaw,p_goal_0_raw,p_goal_1_raw,p_goal_2_raw,p_goal_0,p_goal_1,p_goal_2
25.567632,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.593575,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.619590,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.645756,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.671690,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.695860,0.000000,-0.003692,0.000000,-0.006372,-0.006494,0.007440,0.561577,0.190505,0.247917,0.561577,0.247917,0.190505
25.723106,0.000000,-0.013535,0.000000,-0.006372,-0.006494,0.007440,0.561589,0.190497,0.247914,0.561589,0.247914,0.190497
25.748483,0.000000,-0.019555,0.000000,-0.006372,-0.006494,0.007440,0.561605,0.190485,0.247910,0.561605,0.247910,0.190485
25.775375,0.000000,-0.025023,0.000000,-0.006372,-0.006494,0.007440,0.561626,0.190470,0.247905,0.561626,0.247905,0.190470
25.802728,0.000000,-0.031037,0.000000,-0.006372,-0.006494,0.007440,0.561651,0.190451,0.247898,0.561651,0.247898,0.190451
25.827867,0.000000,-0.037597,0.000000,-0.006372,-0.006494,0.007440,0.561681,0.190429,0.247890,0.561681,0.247890,0.190429
25.854702,0.000000,-0.050723,0.000000,-0.006372,-0.006494,0.007440,0.561723,0.190398,0.247879,0.561723,0.247879,0.190398
25.880486,0.000000,-0.056736,0.000000,-0.006372,-0.006494,0.007440,0.561768,0.190364,0.247868,0.561768,0.247868,0.190364
25.906044,0.000000,-0.058927,0.000000,-0.006372,-0.006494,0.007440,0.561816,0.190329,0.247856,0.561816,0.247856,0.190329
25.930347,0.000000,-0.063303,0.000000,-0.006372,-0.006494,0.007440,0.561867,0.190291,0.247842,0.561867,0.247842,0.190291
25.956712,0.000000,-0.071501,0.000000,-0.006372,-0.006494,0.007440,0.561926,0.190248,0.247826,0.561926,0.247826,0.190248
25.982601,0.000000,-0.076969,0.000000,-0.006372,-0.006494,0.007440,0.561992,0.190202,0.247806,0.561992,0.247806,0.190202
26.008595,0.000000,-0.083535,0.000000,-0.006372,-0.006494,0.007440,0.562065,0.190151,0.247783,0.562065,0.247783,0.190151
26.034245,0.000000,-0.091733,0.000000,-0.006372,-0.006494,0.007440,0.562148,0.190096,0.247756,0.562148,0.247756,0.190096
26.059226,0.000000,-0.095562,0.000000,-0.006372,-0.006494,0.007440,0.562238,0.190037,0.247725,0.562238,0.247725,0.190037
26.085835,0.000000,-0.098299,0.000000,-0.006372,-0.006494,0.007440,0.562335,0.189975,0.247690,0.562335,0.247690,0.189975
26.110721,0.000000,-0.098846,0.000000,-0.006372,-0.006494,0.007440,0.562436,0.189913,0.247651,0.562436,0.247651,0.189913
26.135171,0.000000,-0.098846,0.000000,-0.006372,-0.006494,0.007440,0.562540,0.189850,0.247610,0.562540,0.247610,0.189850
26.162508,0.000000,-0.098846,0.000000,-0.006372,-0.006494,0.007440,0.562645,0.189787,0.247568,0.562645,0.247568,0.189787
26.187269,0.000000,-0.097201,0.000000,-0.006372,-0.006494,0.007440,0.562751,0.189724,0.247525,0.562751,0.247525,0.189724
26.214027,0.000000,-0.095562,0.000000,-0.006372,-0.006494,0.007440,0.562857,0.189662,0.247481,0.562857,0.247481,0.189662
26.240767,0.000000,-0.092279,0.000000,-0.006372,-0.006494,0.007440,0.562961,0.189602,0.247437,0.562961,0.247437,0.189602
26.265964,0.000000,-0.091187,0.000000,-0.006372,-0.006494,0.007440,0.563065,0.189542,0.247393,0.563065,0.247393,0.189542
26.291086,0.000000,-0.091187,0.000000,-0.006372,-0.006494,0.007440,0.563169,0.189482,0.247349,0.563169,0.247349,0.189482
26.315809,0.000000,-0.091187,0.000000,-0.006372,-0.006494,0.007440,0.563276,0.189421,0.247303,0.563276,0.247303,0.189421
26.342329,0.000000,-0.091187,0.000000,-0.006372,-0.006494,0.007440,0.563383,0.189361,0.247257,0.563383,0.247257,0.189361
26.369137,0.000000,-0.091187,0.000000,-0.006372,-0.006494,0.007440,0.563492,0.189300,0.247209,0.563492,0.247209,0.189300
26.394352,0.000000,-0.092832,0.000000,-0.006372,-0.006494,0.007440,0.563603,0.189238,0.247160,0.563603,0.247160,0.189238
26.420060,0.000000,-0.092832,0.000000,-0.006372,-0.006494,0.007440,0.563716,0.189175,0.247109,0.563716,0.247109,0.189175
26.447042,0.000000,-0.092832,0.000000,-0.006372,-0.006494,0.007440,0.563830,0.189113,0.247057,0.563830,0.247057,0.189113
26.472177,0.000000,-0.092832,0.000000,-0.006372,-0.006494,0.007440,0.563945,0.189050,0.247005,0.563945,0.247005,0.189050
26.499753,0.000000,-0.092279,0.000000,-0.006372,-0.006494,0.007440,0.564060,0.188988,0.246952,0.564060,0.246952,0.188988
26.523732,0.000000,-0.089549,0.000000,-0.006372,-0.006494,0.007440,0.564171,0.188927,0.246901,0.564171,0.246901,0.188927
26.547310,0.000000,-0.086266,0.000000,-0.006372,-0.006494,0.007440,0.564279,0.188869,0.246851,0.564279,0.246851,0.188869
26.576030,0.000000,-0.086266,0.000000,-0.006372,-0.006494,0.007440,0.564388,0.188811,0.246801,0.564388,0.246801,0.188811
26.599211,0.000000,-0.086266,0.000000,-0.006372,-0.006494,0.007440,0.564496,0.188753,0.246750,0.564496,0.246750,0.188753
26.624879,0.000000,-0.086266,0.000000,-0.006372,-0.006494,0.007440,0.564606,0.188696,0.246698,0.564606,0.246698,0.188696
26.650342,0.000000,-0.088456,0.000000,-0.006372,-0.006494,0.007440,0.564720,0.188636,0.246643,0.564720,0.246643,0.188636
26.675802,0.000000,-0.100484,0.000000,-0.006372,-0.006494,0.007440,0.564850,0.188569,0.246580,0.564850,0.246580,0.188569
26.702903,0.000000,-0.107596,0.000000,-0.006372,-0.006494,0.007440,0.564991,0.188498,0.246511,0.564991,0.246511,0.188498
26.728870,0.000000,-0.113064,0.000000,-0.006372,-0.006494,0.007440,0.565138,0.188423,0.246439,0.565138,0.246439,0.188423
26.753144,0.000000,-0.122361,0.000000,-0.006372,-0.006494,0.007440,0.565301,0.188342,0.246357,0.565301,0.246357,0.188342
26.778894,0.000000,-0.137672,0.000000,-0.006372,-0.006494,0.007440,0.565482,0.188251,0.246266,0.565482,0.246266,0.188251
26.804103,0.000000,-0.151344,0.000000,-0.006372,-0.006494,0.007440,0.565683,0.188152,0.246165,0.565683,0.246165,0.188152
26.830741,0.000000,-0.165556,0.000000,-0.006372,-0.006494,0.007440,0.565903,0.188043,0.246054,0.565903,0.246054,0.188043
26.856606,0.000000,-0.178136,0.000000,-0.006372,-0.006494,0.007440,0.566143,0.187926,0.245931,0.566143,0.245931,0.187926
26.882504,0.000000,-0.191808,0.000000,-0.006372,-0.006494,0.007440,0.566403,0.187800,0.245796,0.566403,0.245796,0.187800
26.910261,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.566680,0.187669,0.245651,0.566680,0.245651,0.187669
26.937165,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.566963,0.187536,0.245501,0.566963,0.245501,0.187536
26.961251,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.567253,0.187402,0.245345,0.567253,0.245345,0.187402
26.985631,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.567552,0.187267,0.245181,0.567552,0.245181,0.187267
27.012804,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.567856,0.187132,0.245012,0.567856,0.245012,0.187132
27.038741,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.568172,0.186994,0.244834,0.568172,0.244834,0.186994
27.066001,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.568491,0.186857,0.244652,0.568491,0.244652,0.186857
27.090025,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.568817,0.186718,0.244464,0.568817,0.244464,0.186718
27.116050,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.569155,0.186578,0.244267,0.569155,0.244267,0.186578
27.142813,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.569501,0.186436,0.244063,0.569501,0.244063,0.186436
27.165848,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.569861,0.186291,0.243848,0.569861,0.243848,0.186291
27.190217,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.570226,0.186146,0.243627,0.570226,0.243627,0.186146
27.218973,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.570604,0.185999,0.243397,0.570604,0.243397,0.185999
27.244092,0.000000,-0.200000,0.000000,-0.006372,-0.006494,0.007440,0.570985,0.185851,0.243164,0.570985,0.243164,0.185851
