timestamp,world_index,world_index_corrected,x,y,z
4.159636761,115,124,2.90983407,-0.29919280,-1.49660765
4.191287413,116,125,2.90980811,-0.29917213,-1.49643044
4.196805030,116,125,2.90958186,-0.29947635,-1.49679720
4.219669067,117,126,2.90958186,-0.29947635,-1.49679720
4.243384402,117,126,2.90958186,-0.29947635,-1.49679720
4.257962421,118,127,2.90955587,-0.29945566,-1.49661998
4.279375038,118,127,2.90947298,-0.29969853,-1.49728121
4.301854390,119,128,2.90909392,-0.30023365,-1.49733168
4.320089538,120,129,2.90909174,-0.30021084,-1.49724789
4.339447766,120,129,2.90909174,-0.30021084,-1.49724789
4.362438281,121,130,2.90903618,-0.30016512,-1.49750675
4.376769002,121,130,2.90903400,-0.30014230,-1.49742295
4.399421108,122,131,2.90865070,-0.30087375,-1.49692188
4.422153731,123,132,2.90814941,-0.30168710,-1.49630288
4.437608323,123,132,2.90798386,-0.30206396,-1.49588064
4.474830451,124,133,2.90800248,-0.30227702,-1.49611987
4.481847602,124,133,2.90785543,-0.30286690,-1.49593673
4.498746133,125,134,2.90740434,-0.30314697,-1.49539210
4.520301496,126,135,2.90714682,-0.30362645,-1.49502905
4.542075947,126,135,2.90703208,-0.30348961,-1.49537933
4.558935674,127,136,2.90660244,-0.30376388,-1.49554157
4.579500649,127,136,2.90603628,-0.30390686,-1.49534680
4.602432766,128,137,2.90560461,-0.30384788,-1.49484570
4.619934005,129,138,2.90560461,-0.30384788,-1.49484570
4.639564614,129,138,2.90542268,-0.30381223,-1.49534922
4.661756702,130,139,2.90542268,-0.30381223,-1.49534922
4.680346510,130,139,2.90551416,-0.30370924,-1.49528973
4.699613715,131,140,2.90550697,-0.30277482,-1.49487807
4.722528296,132,141,2.90607174,-0.30119196,-1.49463313
4.746005099,132,141,2.90808372,-0.29878416,-1.49647545
4.759782193,133,142,2.90995098,-0.29879813,-1.50010034
4.782406893,133,142,2.90998669,-0.30061287,-1.50146832
4.798969820,134,143,2.90893291,-0.30162644,-1.49959769
4.819450732,134,143,2.90911137,-0.30130745,-1.49834676
4.841784599,135,144,2.90978870,-0.30160527,-1.49938365
4.858662096,136,145,2.90945836,-0.30237863,-1.49923740
4.880228469,136,145,2.90845892,-0.30323603,-1.49827094
4.903716796,137,146,2.90751109,-0.30411490,-1.49696045
4.918717824,138,147,2.90671161,-0.30442590,-1.49591638
4.940163008,138,147,2.90604613,-0.30484439,-1.49514520
4.961753574,139,148,2.90524373,-0.30482057,-1.49343728
4.979862612,139,148,2.90527134,-0.30362596,-1.49148067
4.999365429,140,149,2.90645542,-0.30101341,-1.49076103
5.023686780,141,150,2.90802418,-0.29813691,-1.49302990
5.039219114,141,150,2.90963403,-0.29516278,-1.49443251
5.059315346,142,151,2.91040361,-0.29496546,-1.49650749
5.081828757,142,151,2.90982883,-0.29549769,-1.49582721
5.098809564,143,152,2.90804517,-0.29680475,-1.49442636
5.119885901,143,152,2.90586933,-0.29790514,-1.49210932
5.142588110,144,153,2.90402116,-0.29878122,-1.49013195
5.158619157,145,154,2.90200190,-0.30004972,-1.48842533
5.179528627,145,154,2.90008602,-0.30104477,-1.48606610
5.201926265,146,155,2.89808615,-0.30221005,-1.48278634
5.218726886,146,155,2.89596427,-0.30378626,-1.47943195
5.239428184,147,156,2.89282436,-0.30595609,-1.47609415
5.263199531,148,157,2.88885309,-0.30723542,-1.47220385
5.280504019,148,157,2.88424208,-0.30841595,-1.46707071
5.299368157,149,158,2.88013838,-0.31012178,-1.46264246
5.321874994,149,158,2.87772366,-0.31197394,-1.45898864
5.339071048,150,159,2.87634517,-0.31397912,-1.45636135
5.366788625,151,160,2.87526012,-0.31594094,-1.45395982
5.382084004,151,160,2.87381553,-0.31789786,-1.45158187
5.399050676,152,161,2.87289685,-0.31936049,-1.45095482
5.421587919,152,161,2.87271558,-0.32054115,-1.45048680
5.443954617,153,162,2.87312210,-0.32101449,-1.44995924
5.458873878,154,163,2.87329790,-0.32147564,-1.44921235
5.482238008,154,163,2.87323812,-0.32220995,-1.44812768
5.501837795,155,164,2.87292942,-0.32346093,-1.44692296
5.524634483,155,165,2.87228928,-0.32550575,-1.44633487
5.541355027,156,165,2.87131269,-0.32828587,-1.44558596
5.562841652,156,166,2.86977729,-0.32887087,-1.44514606
5.584538003,157,167,2.86867181,-0.32790301,-1.44341608
5.611289712,158,168,2.86801939,-0.32686039,-1.44168929
5.622011783,158,168,2.86774410,-0.32557773,-1.44147908
5.646144060,159,169,2.86880101,-0.32396804,-1.44375299
5.661314528,160,170,2.86916274,-0.32384512,-1.44683597
5.681890301,160,170,2.86897432,-0.32394877,-1.44837749
5.704397527,161,171,2.86865518,-0.32455863,-1.44779403
5.721120980,161,171,2.86849542,-0.32577970,-1.44696740
5.742070920,162,172,2.86873559,-0.32645688,-1.44664407
5.772216119,163,173,2.86935556,-0.32717880,-1.44594086
5.781816216,163,173,2.87004708,-0.32921213,-1.44487556
5.802005530,164,174,2.87093935,-0.33162083,-1.44406127
5.824095920,164,174,2.87195647,-0.33470809,-1.44431930
5.844156640,165,175,2.87230641,-0.33661857,-1.44525008
5.862042149,166,176,2.87259942,-0.33836419,-1.44425283
5.884307445,166,176,2.87396580,-0.33890590,-1.44176736
5.901098562,167,177,2.87587447,-0.34082119,-1.44006361
5.923848796,167,177,2.87740757,-0.34326377,-1.43848608
5.944379933,168,178,2.87975299,-0.34562154,-1.43742852
5.961473102,169,179,2.88276313,-0.34800048,-1.43675328
5.981813935,169,179,2.88514874,-0.35010730,-1.43725259
6.004467670,170,180,2.88604927,-0.35161129,-1.43614811
6.021396594,170,180,2.88655522,-0.35274943,-1.43422316
6.049548037,170,181,2.88658303,-0.35388927,-1.43256451
6.065156088,171,182,2.88682630,-0.35540700,-1.43177785
6.081103278,171,182,2.88646961,-0.35721614,-1.43075041
6.103080290,171,183,2.88577745,-0.35831889,-1.42904736
6.132342391,171,184,2.88525998,-0.35774418,-1.42885195
6.141200169,171,184,2.88444067,-0.35694718,-1.42925357
6.163494317,172,184,2.88336372,-0.35606924,-1.42970366
6.184345206,172,185,2.88229212,-0.35600070,-1.42960106
6.202007868,172,185,2.88136820,-0.35630985,-1.42955868
6.221823501,173,186,2.87958587,-0.35641509,-1.42903309
6.244477079,174,187,2.87772975,-0.35570787,-1.42825155
6.260942340,175,188,2.87656969,-0.35460772,-1.42766068
6.282022766,175,188,2.87579773,-0.35405544,-1.42847956
6.304512432,176,189,2.87475548,-0.35439733,-1.42876430
6.321812090,176,189,2.87376926,-0.35405962,-1.42853902
6.342043730,177,190,2.87308831,-0.35366012,-1.42847070
6.364889245,178,191,2.87223146,-0.35337790,-1.42941464
6.388895897,178,191,2.87109707,-0.35304920,-1.42933886
6.403823340,179,192,2.86983013,-0.35302380,-1.42822042
6.440663569,180,193,2.86839915,-0.35320050,-1.42730438
6.443459535,180,193,2.86745932,-0.35258344,-1.42624496
6.464210947,181,194,2.86624997,-0.35239646,-1.42586704
6.484655180,181,194,2.86492080,-0.35221691,-1.42573590
6.501332561,182,195,2.86359754,-0.35229928,-1.42538303
6.523449127,182,195,2.86284093,-0.35201458,-1.42493337
6.551730182,183,196,2.86279549,-0.35158743,-1.42498692
6.561638641,183,196,2.86302026,-0.35095010,-1.42628155
6.583446620,184,197,2.86287602,-0.35070960,-1.42726677
6.606279362,185,198,2.86262230,-0.35037853,-1.42815284
6.621269845,185,198,2.86262230,-0.35037853,-1.42815284
6.644218157,186,199,2.86299896,-0.34996645,-1.42899568
6.664553014,187,200,2.86320658,-0.35011907,-1.43016422
6.681313957,187,200,2.86341438,-0.35027146,-1.43133282
6.703653334,188,201,2.86377233,-0.35044069,-1.43243374
6.725030921,188,201,2.86397940,-0.35045519,-1.43256133
6.741711806,189,202,2.86366683,-0.35066920,-1.43291217
6.764390350,190,203,2.86343738,-0.35058729,-1.43305937
6.785064526,190,203,2.86400293,-0.34967632,-1.43330039
6.801563278,191,204,2.86503085,-0.34924774,-1.43382369
6.830956623,192,205,2.86677982,-0.34897441,-1.43595991
6.845291309,192,205,2.86970091,-0.34875093,-1.43963477
6.867745469,193,206,2.87315819,-0.34922864,-1.44285336
