timestamp,world_index,world_index_corrected,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
0.649650,18,19,0.845632,0.506706,0.282745,1519230659.964049-0 1519230659.975452-1,-1.217387,15.884267,87.262754,19.891683,14.461850,-20.924157,-0.191384,0.036883,0.980822,-39.328103,14.569492,-22.201352,0.328634,-0.012644,0.944373
0.653535,18,19,0.982753,0.513003,0.290473,1519230659.971818-0 1519230659.975452-1,-0.365507,15.677744,89.719886,19.891683,14.461850,-20.924157,-0.179992,0.032800,0.983121,-39.328103,14.569492,-22.201352,0.328634,-0.012644,0.944373
0.692727,18,20,0.982753,0.557633,0.348055,1519230660.050203-0 1519230659.975452-1,7.317752,13.589276,111.843337,19.891683,14.461850,-20.924157,-0.094271,-0.000804,0.995546,-39.328103,14.569492,-22.201352,0.328634,-0.012644,0.944373
0.700606,18,21,0.990000,0.562269,0.343275,1519230660.050203-0 1519230659.991210-1,7.777888,13.475185,106.980453,19.891683,14.461850,-20.924157,-0.094271,-0.000804,0.995546,-39.328103,14.569492,-22.201352,0.342553,-0.014833,0.939382
0.705631,18,21,0.991796,0.563657,0.343025,1519230660.050203-0 1519230660.001260-1,7.907543,13.328198,105.606508,19.891683,14.461850,-20.924157,-0.094271,-0.000804,0.995546,-39.328103,14.569492,-22.201352,0.346626,-0.017224,0.937845
0.708518,18,21,0.981311,0.566259,0.342282,1519230660.050203-0 1519230660.007033-1,8.142061,13.088783,103.121486,19.891683,14.461850,-20.924157,-0.094271,-0.000804,0.995546,-39.328103,14.569492,-22.201352,0.354167,-0.021262,0.934941
0.722624,18,21,0.990000,0.577789,0.332531,1519230660.050203-0 1519230660.035246-1,9.067250,12.705129,93.334659,19.891683,14.461850,-20.924157,-0.094271,-0.000804,0.995546,-39.328103,14.569492,-22.201352,0.386247,-0.029379,0.921928
0.726083,18,21,0.904314,0.578751,0.331711,1519230660.050203-0 1519230660.042164-1,9.136741,12.676998,92.599460,19.891683,14.461850,-20.924157,-0.094271,-0.000804,0.995546,-39.328103,14.569492,-22.201352,0.388817,-0.030028,0.920825
0.730020,18,21,0.921420,0.580228,0.331831,1519230660.050203-0 1519230660.050038-1,9.240601,12.518165,91.495391,19.891683,14.461850,-20.924157,-0.094271,-0.000804,0.995546,-39.328103,14.569492,-22.201352,0.392706,-0.032990,0.919072
0.734823,18,22,0.968590,0.581069,0.332446,1519230660.050203-0 1519230660.059644-1,9.298316,12.383515,90.879494,19.891683,14.461850,-20.924157,-0.094271,-0.000804,0.995546,-39.328103,14.569492,-22.201352,0.394890,-0.035449,0.918044
0.738738,18,22,0.968590,0.582129,0.332138,1519230660.058033-0 1519230660.059644-1,9.498967,12.474928,91.345513,19.891683,14.461850,-20.924157,-0.092119,0.000891,0.995748,-39.328103,14.569492,-22.201352,0.394890,-0.035449,0.918044
0.742187,18,22,0.968590,0.584067,0.333250,1519230660.064931-0 1519230660.059644-1,9.869075,12.500823,92.205893,19.891683,14.461850,-20.924157,-0.088192,0.001582,0.996102,-39.328103,14.569492,-22.201352,0.394890,-0.035449,0.918044
0.746836,18,22,1.000000,0.585628,0.333599,1519230660.064931-0 1519230660.068943-1,9.970015,12.318385,91.056535,19.891683,14.461850,-20.924157,-0.088192,0.001582,0.996102,-39.328103,14.569492,-22.201352,0.398924,-0.038859,0.916160
0.752407,18,22,1.000000,0.587104,0.335893,1519230660.076072-0 1519230660.068943-1,10.252501,12.213858,91.706158,19.891683,14.461850,-20.924157,-0.085209,0.000026,0.996363,-39.328103,14.569492,-22.201352,0.398924,-0.038859,0.916160
0.755462,18,22,1.000000,0.588402,0.336271,1519230660.076072-0 1519230660.075054-1,10.332608,12.058537,90.761023,19.891683,14.461850,-20.924157,-0.085209,0.000026,0.996363,-39.328103,14.569492,-22.201352,0.402243,-0.041796,0.914578
0.759516,18,22,1.000000,0.589532,0.337145,1519230660.076072-0 1519230660.083161-1,10.400618,11.880734,89.955731,19.891683,14.461850,-20.924157,-0.085209,0.000026,0.996363,-39.328103,14.569492,-22.201352,0.405092,-0.045111,0.913162
0.762227,18,22,1.000000,0.590985,0.339998,1519230660.081493-0 1519230660.083161-1,10.678010,11.726673,90.582073,19.891683,14.461850,-20.924157,-0.082275,-0.002352,0.996607,-39.328103,14.569492,-22.201352,0.405092,-0.045111,0.913162
0.764860,18,23,1.000000,0.591994,0.343021,1519230660.086761-0 1519230660.083161-1,10.871515,11.530268,91.018895,19.891683,14.461850,-20.924157,-0.080248,-0.005505,0.996760,-39.328103,14.569492,-22.201352,0.405092,-0.045111,0.913162
0.769523,18,23,1.000000,0.592771,0.344381,1519230660.086761-0 1519230660.092486-1,10.915134,11.347809,90.466120,19.891683,14.461850,-20.924157,-0.080248,-0.005505,0.996760,-39.328103,14.569492,-22.201352,0.407013,-0.048443,0.912137
0.775210,18,23,1.000000,0.593613,0.346401,1519230660.098136-0 1519230660.092486-1,11.078102,11.225443,90.831515,19.891683,14.461850,-20.924157,-0.078544,-0.007412,0.996883,-39.328103,14.569492,-22.201352,0.407013,-0.048443,0.912137
